real_steps,return,policy_loss,value_loss,entropy_loss,model_s_loss,model_r_loss,imag_p_loss,imag_v_loss,imag_e_loss
8700,16.0,-0.007325969636440277,27.20218276977539,-0.6905694007873535,1.1744674035677841e-05,2.3931295800139196e-05,0.01442047581076622,1.9012386798858643,-0.6905131340026855
8727,27.0,-0.0041550518944859505,65.47119140625,-0.690660834312439,1.1183135939063504e-05,2.12492826297724e-05,0.005856192670762539,1.9069314002990723,-0.6904242634773254
8743,16.0,-0.012729454785585403,28.4514102935791,-0.6922106146812439,7.867198595098065e-06,1.641049857425969e-05,-0.006353260017931461,1.9463931322097778,-0.6889188289642334
8757,14.0,0.024474047124385834,20.94729995727539,-0.6900529861450195,1.1481292252331817e-05,1.6505253370269202e-05,0.007341974414885044,1.9278911352157593,-0.6903682351112366
8788,31.0,-0.02964601293206215,78.46546173095703,-0.6919207572937012,8.355723972878574e-06,1.1970576451858506e-05,-0.00977045763283968,1.9715296030044556,-0.6897643208503723
8817,29.0,0.0012013665400445461,72.21743774414062,-0.6906775832176208,8.768435388143795e-06,1.530844080358899e-05,-0.00048376520862802863,2.0478835105895996,-0.6884561777114868
8851,34.0,-0.0011473923223093152,89.57071685791016,-0.6869770288467407,8.959320136151897e-06,1.4598351905685073e-05,-0.03092472441494465,1.9754544496536255,-0.6881386041641235
8871,20.0,-0.012960158288478851,40.879295349121094,-0.6922812461853027,1.0433241792876894e-05,3.203152421823082e-05,0.007530101574957371,2.0657742023468018,-0.6900003552436829
8887,16.0,0.046611957252025604,27.83030128479004,-0.678804874420166,1.0232085666454319e-05,2.060165843431605e-05,-0.017499450594186783,1.721266508102417,-0.6837077140808105
8911,24.0,0.01525405514985323,55.202423095703125,-0.6863649487495422,8.745972233252056e-06,1.2026301798565934e-05,-0.013742477633059025,1.9454373121261597,-0.6866235733032227
8937,26.0,0.010674591176211834,62.022361755371094,-0.6867434978485107,9.153254419895044e-06,1.756896290316945e-05,-0.0022927005775272846,1.895747184753418,-0.6866528987884521
8970,33.0,-0.04652918875217438,85.64431762695312,-0.6891452670097351,9.192029665427981e-06,1.6058339800414007e-05,0.036231279373168945,1.8045490980148315,-0.679742157459259
9006,36.0,-0.009903672151267529,94.40717315673828,-0.6881687641143799,8.14327177067753e-06,1.5596576001068268e-05,0.0032380172051489353,1.981091022491455,-0.686843991279602
9025,19.0,-0.013929730281233788,37.806541442871094,-0.6761877536773682,9.036915495623058e-06,2.97410639783872e-05,-0.017629088833928108,1.9897252321243286,-0.6860036253929138
9041,16.0,0.02593526989221573,27.553098678588867,-0.6803863048553467,7.73817979885886e-06,1.2887093362223823e-05,0.004234394058585167,1.6779956817626953,-0.6869122982025146
9053,12.0,-0.013803998939692974,14.93810749053955,-0.6919733881950378,1.0174531477484075e-05,1.567164751274201e-05,-0.017298130318522453,1.9500309228897095,-0.6886958479881287
9080,27.0,-0.014889626763761044,64.52971649169922,-0.6906538605690002,1.1336619233285697e-05,2.598190379406636e-05,-0.005488879047334194,1.9231147766113281,-0.6874651312828064
9104,24.0,-0.03979061171412468,54.72735595703125,-0.6890244483947754,8.47456173384368e-06,2.8636609992342226e-05,-0.001165215508081019,1.8312894105911255,-0.6881345510482788
9129,25.0,-0.0009178172913379967,59.955684661865234,-0.6917821764945984,8.900181455828715e-06,1.9034655754997704e-05,0.04755733907222748,1.8405022621154785,-0.6742072701454163
9141,12.0,0.010111702606081963,14.485507011413574,-0.6775988936424255,1.1492836468581421e-05,1.6265821917234764e-05,-0.006852311547845602,1.8451552391052246,-0.6903495192527771
9170,29.0,-0.021601742133498192,73.59664916992188,-0.6885122656822205,1.0304431422506847e-05,1.9704799039269954e-05,0.03504185006022453,1.7543028593063354,-0.6845961213111877
9227,57.0,-0.009412359446287155,141.66961669921875,-0.6877943277359009,1.1403234263222354e-05,2.2983904273132794e-05,-0.01578838936984539,1.9454392194747925,-0.6864064335823059
9246,19.0,0.031293630599975586,36.2083740234375,-0.6880854964256287,1.504890406067716e-05,3.072112607090579e-05,0.02705860137939453,2.1434364318847656,-0.6877797842025757
9269,23.0,0.0031043223571032286,50.94578552246094,-0.6907692551612854,9.071362910617609e-06,1.638600345662174e-05,-0.010469268076121807,2.052990436553955,-0.6887563467025757
9286,17.0,-0.0008548741461709142,30.2120361328125,-0.6925441026687622,9.624937471623221e-06,1.4362920410349034e-05,0.009745121002197266,2.058115005493164,-0.6846092939376831
9321,35.0,-0.010196150280535221,91.46482849121094,-0.6915463805198669,7.436484186958599e-06,1.6889464556394767e-05,0.004856594372540712,1.8750171661376953,-0.6886496543884277
9335,14.0,-0.001068738056346774,21.12674903869629,-0.6859070658683777,8.531817002221942e-06,1.4669138181488961e-05,-0.002159155672416091,1.8385803699493408,-0.688316822052002
